,Вопрос абонента,Тематика
93,не могу зайти в emotion пишет неизвестнкю ошибкк 100006,33
94,на моем тарифе услуга emotion сколько стоит?,33
95,Код ошибки 488 в приложении eMotion,33
96,как подключить eMoton ?,33
97,в узбекистане работает программа Emotion,33
98,"Здравствуйте, где скачать emotion для Honor 30 pro plus . На нем нет гугл сервисов",33
99,"как намтроить емотион , чтобы я видела кто звонит входящие и могла взять трубку",33
100,сколько стоит минута если звонить через emotion ?,33
101,У меня не работает емоушен в египте,33
102,Здравствуйте! подключите Услугу eMotion Сообщения,33
103,"Хочу оформить e-sim , где могу это сделать?",34
104,так в москве что ли и костромской номер смогут заменить сим на есим ?,34
105,Хочу оформить esim,34
106,у меня можно сделать esim ?,34
107,Как поменять сим карту на Esim ?,34
108,Как подключить esim,34
109,"Здравствуйте! скажите пожалуйста, еsim выдают в офисах продаж мегафона в Красноярске?",34
110,Здравствуйте! Как воспользоваться услугой e-sim ?,34
111,Как оформить виртуальную сим карту ?,34
112,Подберите мне офис ближайший для получение eSim,34
113,E sim что это?,34
114,"Добрый день! Подскажите, могу ли я заменить свою сим карту на е-сим ?",34
115,Вопрос по eSIM . Могу ли я перевести свой номер на eSIM ?,34
116,"Добрый день. Подскажите, могу ли я заменить текущую сим карту на esim с тем же номером онлайн? Без посещения салона.",34
117,Мне нужна eSIM карта,34
118,Карта eSIM,34
119,Здравствуйте! Можно подключится к виртуальной sim карте ?,34
120,хочу узнать адреса салонов в республике Татарстан где можно подключить esim,34
121,"Добрый день, как получить esim карту?",34
122,Добрый день! как можно оформить e-sim на существующий номер вместо обычной сим карты?,34
123,Хочу оформить Esim,34
124,Как подключить е сим ?,34
125,Добрый день есть ли в мегафоне Е сим ?,34
126,"Здравствуйте, подскажите пожалуйста в каком салоне «Мегафон» в Санкт-Петербурге можно сегодня оформить e-sim ?",34
127,Добрый день. Есим можно у нас подключить ?,34
128,Где и как можно подключить e-SIM ?,34
129,Добрый день. Могу ли я поменять свою действующую сим карту на esim ?,34
130,"Добрый день, я могу поменять свою сим карту на esim",34
131,Могу ли я оформить электронную сим карту с моим номером ?,34
132,мне нужен ближайший офис где я могу заменить физическую сим на esim метро красные ворота,34
133,Здравствуйте! Дайте адреса офисов где можно оформить eSim,34
134,Добрый вечер. В каких салонах можно оформить переход на виртуальную сим карту esim ?,34
135,Есим есть в мегафоне?,34
136,"Здравствуйте, в каких офисах можно оформить есим ?",34
137,Здравствуйте! Есть ли в Мегафоне - виртуальная сим-карта ?!,34
138,"Здравствуйте! Скажите пожалуйста, где возможно приобрести е-сим карту?",34
139,Как и где я могу оформить esim ?,34
140,Появилась ли в Челябинской области возможность приобретения e-sim ?,34
141,Электронную симкарту можно подключить ?,34
142,"Здравствуйте! Подскажите пожалуйста в каком из офисов Мегафон города Краснодар, я могу приобрести eSim ?",34
143,Функция еSIM,34
144,добрый день. как перейти или оформить esim ?,34
145,Виртуальная сим карта,34
146,eSim без похода в салон,34
147,Как сим карту переделать на ЕСим,34
148,"Здравствуйте. В новостях от Мегафона было объявлено о возможности заменить свою симкарту на есим (виртуальную) в любом офисе после03.08. Я могу это сделать в салоне г. Саров, Нижегородской обл?",34
149,Как можно подключить e-sim ?,34
150,что такое eSIM,34
151,меня интересует возможность подключения виртуальной симкарты,34
152,"Добрый день! Подскажите, пожалуйста, адреса офисов в Москве, где я смогу обменять физическую сим-карту на e-sim",34
153,"Здравствуйте, возможно ли активировать сим карту esim ?",34
154,E sim в каких регионах ?,34
155,"Здравствуйте. Подскажите, пожалуйста, адреса офисов в г. Казань, в которых можно выполнить замену физической SIM-карты на eSIM .",34
156,Здравствуйте! Подскажите в каких салонах Мегафон города Москвы можно получить е-сим ?,34
157,Добрый день! Когда в Орле будут подключать eSIM ?,34
158,На счёт виртуальной сим карты,34
159,Здравствуйте! Появилась новость что Мегафон стал подключать eSIM . Где можно найти в самаре?,34
160,Виртуальная симкарта,34
161,Виртуальная карта esim,34
162,"Здравствуйте! Появилась новость что Мегафон стал подключать eSIM . Где, как и когда, можно будет подключиться в Калининграде?",34
163,"Добрый день. Как я могу перейти на формат esim ? Физическая сим карта у меня есть, номер хочу сохранить",34
164,Как оформить электронную сим карту ?,34
165,"Здравствуйте, могу ли я оформить переход со своей сим картой на esim ?",34
166,В каком ближайшем салоне можно оформить e-sim ?,34
167,E-sim когда появятся?,34
168,Добрый день! Что даёт карта есим ?,34
169,Где можно установить e sim ?,34
170,Как оформить esim на моем номере?,34
171,"Добрый день, а можно удалённо перевыпустить эту сим карту в формат e-sim ?",34
172,esim карта,34
173,Добрый день! Хочу поменять сим карту на esim,34
174,"Добрый день! Я хотел уточнить, могу ли я оформить eSim для моего номера? И в каких салонах в Москве я могу это сделать?",34
175,Добрый день. Могу ли я свою сим карту перевести на eSIM или вообще могу ли я в Санкт-Петербурге оформить eSIM ?,34
176,"Здравствуйте, хотелось бы узнать у вас по переход на e-sim .",34
177,esim есть ли возможность подключить ?,34
178,Как подключить виртуальную сим карту,34
179,Как я могу получить esim ?,34
180,Подскажите как можно оформить E-sim,34
181,Добрый день подскажите ближайший офис где можно оформить esim,34
182,Как поменять сим карту на есим ?,34
183,Я могу получить esim на этом номере?,34
184,Добрый день! Могу ли я подключить eSim ?,34
185,"Здравствуйте, а в каких салонах г. Москвы можно приобрести esim ?",34
186,"Здравствуйте, в каком салоне связи в г. Краснодар можно приобрести eSim ?",34
187,"Подскажите адреса салонов сотовой связи, в которых можно оформить е-sim ?",34
188,Хочу оформить eSIM,34
189,Мне нужна esim карта,34
190,"Здравствуйте. Подскажите адрес салона в СПб, в котором можно получить esim . Спасибо.",34
191,Как перейти на eSIM ?,34
192,"Добрый день, в Мегафон появилась возможность оформления eSim карты . Вопрос следующий, поддерживает ли мегафон процесс переноса тарифного плана при смене телефона (iPhone ) при его первой настройке (https://support.apple.com/ru-ru/HT210655). Или для этого необходимо будет снова посещать салон?e",34
193,Добрый день... Как поменять реальную сим карту на Еsim ?,34
194,eSIM можно подключить ?,34
195,Здравствуйте. Хотел бы перейти на стандарт eSim . Как это можно сделать?,34
196,Где я могу подключить esim ?,34
197,как сделать esim на этом номере?,34
198,У меня IPhone Я хочу подключить виртуальную eSIM карту ... это возможно через Мегафон ?,34
199,Подскажите - как и где я могу оформить eSim ?,34
200,Появилась ли возможность подключить eSim карту ?,34
201,eSIM карты когда?,34
202,eSIM - в каких салонах Москвы можно оформить?,34
203,"В каких салонах (офисах), я могу оформить е-sim ?",34
204,Добрый день! Имеется ли возможность поменять свою сим карту на esim ?,34
205,добрый день. Могу ли я поменять свою сим карту на eSim ?,34
206,Добрый день! Как я могу оформить е-сим ?,34
207,Предоставляете ли вы услуги по подключению виртуальной сим-карты ?,34
208,Хочу подключить e sim,34
209,eSIM Где можно найти в мск?,34
210,Добрый день. Могу ли оформить виртуальную сим карту на айфон 11 про ?,34
211,"Добрый день, подскажите услуга виртуальной сим карты доступна уже?",34
212,Во всех салонах можно оформить электронные сим Карты ?,34
213,Как поменять сим карту на Esim,34
214,E sim возможность подключиться ?,34
215,День добрый. Хочу получить на свой номер Esim . Как это сделать?,34
216,Я хочу подключить виртуальную сим карту eSIM,34
217,"Добрый день! Подскажите, как я могу заменить физическую сим карту на е-сим ?",34
218,Esim карта,34
219,"Е,сим подключаете ?",34
220,Электронная сим карта,34
221,Как перейти на электронную симку,34
222,"Добрый день. Как я могу перейти на формат esim ? Физическая сим карта у меня есть, номер хочу сохранить",34
223,как подключить есть сим,34
224,мне надо подключить я сим,34
225,есть сим expenses;none;none;debtPKU: expenses/OPEN_QUESTION,34
226,необходимо подключить есть сим то есть электронная сим карту restoresim;none;togo;debtPKU: restoresim/OPEN_QUESTION,34
227,"Привет, я могу свою сим карту сделать электронной?""",34
228,хочу купить электронную Симку /kak_zakazat_sim,34
229,заказ я сим /kak_zakazat_sim,34
230,Как получить электронную симкарту ?,34
231,Хочу электронную симкарту,34
232,хочу поменять пластику сим карту на электронную /kak_zamenit_sim,34
233,где можно заменить есть сим /kak_zamenit_sim,34
234,как заменить обычную симкарту на нее сим /kak_zamenit_sim,34
235,скажите пожалуйста вот я Симку приобретал в янао вот в Екатеринбурге я могу поменять Нано Симку на цифровую на если с моей Симку [/kak_zamenit_sim],34
236,узнать по обмена сим карты на есть сим /kak_zamenit_sim,34
237,заменить сим на едем [/kak_zamenit_sim],34
238,сменить пластиковый Симку на есть 7 /kak_zamenit_sim,34
239,как соедините пластиковой сим карты ей 7 /kak_zamenit_sim,34
240,как заменить сим карту на висим /kak_zamenit_sim,34
241,замена сим карта на электронную /kak_zamenit_sim,34
242,как я могу заменить свою сим карту на есть 7 /kak_zamenit_sim,34
243,мне нужно настроить есть сим /kak_zamenit_sim,34
244,как поменять обычную сим карту на здесь сим /kak_zamenit_sim,34
245,сделайте я Симку /kak_zamenit_sim,34
246,замена карты здесь 7 /kak_zamenit_sim,34
247,как поменять сим на есть сим /kak_zamenit_sim,34
248,скажите пожалуйста где я могу заменить пластиковый сим карта на я сим /kak_zamenit_sim,34
249,как сделать е сис по этому номеру?,34
250,Как влючить еsin,34
251,"распечатку с QR кодом нам дали, но Е-симка не подключается, т.к. якобы эта е-симка уже у кого-то другого. объясните нам сложившуюся ситуацию",34
252,не работает есть сим,34
253,на какие телефоны подходит есть сим,34
254,свой номер я могу перенести на карту есть сим,34
255,e sim выдает ошибку megafon pro error 1f xx 2700/6f0b,34
256,"Здравствуйте, сегодня взял Е-сим привязал по QR коду к телефону и случайно отвязал, привязать повторно уже не могу, что делать?",34
257,как привязать потерянную сим карту к есть сим,34
258,не работает есть сим,34
259,esim пишет что не зарегистрирована в сети 89221235618(phone_number),34
260,"здравствуйте, сегодня в салон мегафон я пришёл с вопросом по замене симкарты на esim , мне распечатали qr код с инструкцией, паспорт и никакие данные не потребовались. при добавлении сотового тарифа по полученному коду на устройстве iphone 11 сеть не работает, написано, что нет сети, в чём проблема может быть? Спасибо",34
261,"Добрый день, подключил esim она уже как час не работает, телефон перезагружал",34
262,"здравствуйте, получил QR код для замены на Esim отсканировал и мне выдает что нет связи хотя я следовал по интсрукции, можете подсказать в чем проблема .",34
263,"Доброе утро. Хочу оформить есим своему для ассистента, это возможно?",34
264,как зарегистрировать электронный сим карту,34
265,Мне нужен qr код для активации сим на айфоне,34
266,Хочу заказать цифровую сим карту на свой номер,34
267,можно ли перейти с обычный карты на есть Симка,34
268,"Доброе утро. Хочу оформить есим своему для ассистента, это возможно?",34
269,Здравствуйте. У меня eSim . Мне нужно перенести её на новый телефон,34
270,Нужно перенести Есим,34
271,"Вышлите мне QR код моего Номера телефона, все выше уже 2 раза писал",34
272,не получается добавить на телефон есть сим,34
273,Можно ли использовать звонки через WIFI без приложения emotion ?,36
274,Когда volte появится уже?,36
275,что такое voLTE ?,36
276,Volte в тобольске поддерживает?,36
277,"У меня появился значек в верхнем правом углу экрана где написано мегафон, и рядом ещё с сегодняшнего дня появилась надпись VoLTE и когда я кому-то звоню или мне кто-то звонит, рядом с минутами он тоже есть",36
278,volte в ярославле,36
279,"Скажите пожалуйста, когда в планах запуск VoLte в ставрополе",36
280,есть ли в ижевске volte ?,36
281,Добрый день. Подскажите работает ли услуга VoLTE в Ярославской области?,36
282,Что такое VOLTE,36
283,"Мне пришла смс, что мой телефон поддерживает volte ? Я должен получить новую сим?",36
284,"Здравствуйте! когда планируете запуск VoLTE в Республике Башкортостан? в новостях читаю что запустили в Забайкалье , в Республике Татарстан. А когда до нас услуга доберется?",36
285,volte в Новосибирске работает?,36
286,"здравствуйте, поддерживает ли мой тариф стандарт volte ?",36
287,"здравствуйте, подскажите пожалуйста список регионов с VoLTE и VoWiFi",36
288,Данные для настройки voLTE,36
289,есть ли volte в удмуртии?,36
290,"Здравствуйте, есть ли у вас VoLte",36
291,"привет, в Кемерово существует VoLTE ?",36
292,Здравствуйте мегафон поддерживает VoLTE,36
293,"Добрый день, работает ли VoLTE в Вологде?",36
294,где работает volte ?,36
295,VoWiFi ims сервисы,36
296,в разделе услуги в приложении(lichnyy_kabinet) ни VoLTE ни VoWiFi не нашёл.,36
297,У меня связь VoLTE ?,36
298,есть ли у меня звонки по wifi volte ?,36
299,"Добрый вечер. Хотел узнать , поддерживается ли в моем тарифе VoLTE ? Телефон Айфон 11",36
300,есть ли VOLTE в удмуртской республике?,36
301,"Здравствуйте, подскажите пожалуйста когда планируется запустить Vo LTE в Волгограде?",36
302,Работает ли в Иркутске технология volte ?,36
303,"Здравствуйте, подскажите пожалуйста когда планируется запустить Vo LTE в Волгограде?",36
304,Что такое вольте,36
305,VOTLE drugoe,36
306,Добрый день. звонки выполненные заграницей при подключении к сети посредством vowifi будут тарифицироваться как в роуминге или по тарифам домашнего региона?,36
307,vowifi,36
308,vowifi,36
309,vowifi,36
310,vowifi,36
311,vowifi,36
312,помогите настроить vowifi,36
313,"добрый день. на iphone x работала хорошая штука, по названием звонки через wifi (vowifi ). на redmi note 7 такое можно настроить? вроде сам аппарат поддерживает это, но почему то из коробки не работает. часто нахожусь в местах где ваша сеть плохо ловит и vowifi очень выручал. спасибо.",36
314,vowifi,36
315,"возможно ли включить поддержку vowifi на xiaomi a3 ? на mts vowifi на данном устройстве работает, по информации из интернета оператор должен разрешить работу vowifi для модели. эта же симка в p40 lite vowifi работает",36
316,"Как проверить сим карту поддержки технологий vowifi . Работает технология vowifi на Сахалине, Курилах?",36
317,Работает vowifi звонки на Курилах?,36
318,"Как проверить сим карту поддержки технологий vowifi звонков.Работает ли данная технология Сахалин, Курилы?",36
319,vowifi,36
320,vowifi,36
321,"Здравствуйте! Мне пришла смс от Мегафона, что теперь доступна технология vowifi . Нужно ли как-то её активировать в личном кабинете(lichnyy_kabinet) или достаточно просто включить опцию в настройках телефона?",36
322,"здравствуйте. как звонить по vowifi без мобильной сети, но при наличии wifi ? у меня так и не получилось",36
323,как расходуются минуты при звонках по vowifi ?,36
324,"Здравствуйте, заработал ли vowifi в Пензенской области?",36
325,как настроить vowifi,36
326,дома связь плохая хочу использовать технологию vowifi,36
327,хочу общаться через vowifi,36
328,звонки через wifi,36
329,услуга звонка через wifi,36
330,добрый день. интересует тарификация звонков при совершении вызова через wifi,36
331,Звонки через wifi,36
332,"здравствуйте, когда Мегафон запусит услугу звонки через wifi ?",36
333,звонки через wifi,36
334,Звонки через wifi,36
335,а если подключить звонки через wifi смс будут поступать?,36
336,"у вас есть опция звонок через wifi . как настроить телефон? у нас на работе плохо ловит сигнал, но есть wifi",36
337,Звонки на телефон через wifi,36
338,Дополнительная услуга звонков на сотовую сеть через wifi,36
339,Интересует опция звонков на сотовую сеть через wifi,36
340,Меня интересует звонки через wifi и смс,36
341,Звонки через wifi,36
342,"Добрый день, вчера пробовал звонок через wifi мегафон-мегафон",36
343,Звонок через wifi calling,36
344,как тарифицируются вызовы через wifi заграницей?,36
345,vowifi,36
346,vowifi,36
347,добрый вечер. vowifi запустили в воронеже?,36
348,здравствуйте. хотел узнать про услугу vowifi,36
349,"что надо сделать, чтобы vowifi заработал?",36
350,"привет, vowifi работает? какието настройки нужны?",36
351,vowifi,36
352,мне нужно vowifi,36
353,"добрый день, вопрос по vowifi",36
354,С интернет звонками vowifi,36
355,"Ночь добрая. В Саратове включили vowifi , это просто отлично, но только у меня на номере, именно на номере а не телефоне. Пробовал разные сим и разные телефоны. 9279155666(phone_number) Блохин Кирилл Викторович.",36
356,vowifi,36
357,Цена vowifi вызова,36
358,"скажите, есть ли в г. Киров кировской оьласти услуга vowifi ?",36
359,Меня интересует услуга vowifi .,36
360,Вовайфай intent_dlya_sushtnostej,36
361,"Здравствуйте, если я включу звонки по вайфай в настройках iPhone 11 я смогу звонить из за рубежа по вайфай по домашнему тарифу? tarif_kak_raskhoduyutsya_minuty",36
362,как звонить через вайфай uslugi_podklyuchit,36
363,звонки через вайфай ,36
364,Скажите в Мегафон подключена функция звонки по вайфай uslugi_podklyuchit,36
365,как звонить по вайфай ? uslugi_podklyuchit,36
366,Мне iPhone предложил звонить когда сигнал по вайфай Это платно или нет? tarif_kak_raskhoduyutsya_minuty,36
367,позвонить без связи через вайфай problemy_so_svyazyu,36
368,звонки по вайфай что и как стоят? tarif_kak_raskhoduyutsya_minuty,36
369,есть услуга звонок через вайфай ? uslugi_podklyuchit,36
370,звонок через вайфай ,36
371,"здравствуйте, когда появится опция вайфай звонки в брянской области. uslugi_podklyuchit",36
372,Добрый день. Могу я использовать звонки через вайфай ? tarif_kak_raskhoduetsya_internet,36
373,как можно звонить через вайфай . у меня сейчас не ловит сеть мегафон. Но есть сеть мтс и интернет мтс . Как звонить с мегафона ? problemy_so_svyazyu,36
374,"доброе утро, скажите, если активировать в телефоне wifi calls и VoLTE , то звонки из роуминга будут бесплатными при подключении к вайфай ? volte",36
375,звонки по вайфай тратят минуты tarif_kak_raskhoduyutsya_minuty,36
376,звонки по вайфай ,36
377,Wi-Fi calling,36
378,как настроить звонки vo wifi ?,36
379,"Здравствуйте, могу ли я совершать вызовы по wi-fi ?",36
380,Здравствуйте. Как совершать звонки через услуги VoWiFi ?,36
381,volte в Удмуртии,36
382,есть ли у вас звонки через wai-fai,36
383,проверка связи чистой звук,36
384,Вовайфай,36
385,Вовайфай,36
386,Вовайфай,36
387,Вовайфай,36
388,Вовайфай,36
389,Вовайфай,36
390,Вовайфай,36
391,Вовайфай,36
392,Вовайфай,36
393,Вовайфай,36
394,Вовайфай,36
395,есть ли у нас вовайфай,36
396,Я хочу узнать действует ли в моем регионе вовайфай,36
448,как подключить услугу VoLTE ?,37
449,Volte можно подключить ?,37
450,Volte как подключить ?,37
451,"Здравствуйте,включите мне VoLTE",37
452,"Здравствуйте, обнаружил в настройках моего телефона не активна VoLTE , пишет, что сим карта не поддерживает. Странно, LTE поддерживает... Что делать? Менять карту или можно удаленно включить?",37
