,Вопрос абонента,Тематика
71,Звонки через приложение ,33
72,"У меня подключен  , я звоню себе с другого номера и слышу, что абонент недоступен - оставьте сообщение на автоответчик,  молчит.",33
73,Здравствуйте! По поводу  : Приложение радует. Пользуюсь записью разговоров. Скажите п-та: где на телефоне (в какой папке) хранятся файлы записи и как их извлечь? Спасибо..,33
74,"через  с банка не приходят смс, а с фейсбука и от вас доходят.Что делать?",33
75,на сим-карту приходят в программу  не приходят,33
76,Здравствуйте точка не приходит SMS на программу  . что может быть?,33
77,Отключить ,33
78,Не могу подключить на этот номер ,33
79,здравствуйте как установит приложение ,33
80,необходим код активации  для этого номера,33
81,"У меня в  перебой на входящие звонки и смс-ки,",33
82,я не получаю код от приложении ,33
83,В чём разница между  и  ?,33
84,Подключение ,33
85,"Здравствуйте, у меня при регистрации в приложении  произошла ошибка биллинга. Что это означает и как устранить;",33
86,програма  сбрасывает все входящие звонки,33
87,Не могу подключиться к ,33
88,вечер добрый. как на  перейти?,33
89,"Не работает  звонки , подключите пожалуйста",33
90,"Здравствуйте, не могу активировать прием звонков через ",33
91,"Добрый день! Сижу на месторождении,сотовой связи нет, есть только  . скачал приложение  для звонков, оно требует код активации который отправляеться на телефон, а связи нет,не могу получить его. можите как нибудь помочь в этом вопросе?",33
92,почему не работатет  ? тел. +79269872297,33
93,не могу зайти в  пишет неизвестнкю ошибкк 100006,33
94,на моем тарифе услуга  сколько стоит?,33
95,Код ошибки 488 в приложении ,33
96,как подключить  ?,33
97,в узбекистане работает программа ,33
98,"Здравствуйте, где скачать  для Honor 30 pro plus . На нем нет гугл сервисов",33
99,"как намтроить емотион , чтобы я видела кто звонит входящие и могла взять трубку",33
100,сколько стоит минута если звонить через  ?,33
101,У меня не работает емоушен в египте,33
102,Здравствуйте! подключите Услугу  Сообщения,33
103,"Хочу оформить  , где могу это сделать?",34
104,так в москве что ли и костромской номер смогут заменить сим на есим ?,34
105,Хочу оформить ,34
106,у меня можно сделать  ?,34
107,Как поменять сим карту на  ?,34
108,Как подключить ,34
109,"Здравствуйте! скажите пожалуйста, еsim выдают в офисах продаж мегафона в Красноярске?",34
110,Здравствуйте! Как воспользоваться услугой  ?,34
111,Как оформить виртуальную сим карту ?,34
112,Подберите мне офис ближайший для получение ,34
113, что это?,34
114,"Добрый день! Подскажите, могу ли я заменить свою сим карту на е-сим ?",34
115,Вопрос по  . Могу ли я перевести свой номер на  ?,34
116,"Добрый день. Подскажите, могу ли я заменить текущую сим карту на  с тем же номером онлайн? Без посещения салона.",34
117,Мне нужна  карта,34
118,Карта ,34
119,Здравствуйте! Можно подключится к виртуальной sim карте ?,34
120,хочу узнать адреса салонов в республике Татарстан где можно подключить ,34
121,"Добрый день, как получить  карту?",34
122,Добрый день! как можно оформить  на существующий номер вместо обычной сим карты?,34
123,Хочу оформить ,34
124,Как подключить е сим ?,34
125,Добрый день есть ли в мегафоне Е сим ?,34
126,"Здравствуйте, подскажите пожалуйста в каком салоне «Мегафон» в Санкт-Петербурге можно сегодня оформить  ?",34
127,Добрый день. Есим можно у нас подключить ?,34
128,Где и как можно подключить  ?,34
129,Добрый день. Могу ли я поменять свою действующую сим карту на  ?,34
130,"Добрый день, я могу поменять свою сим карту на ",34
131,Могу ли я оформить электронную сим карту с моим номером ?,34
132,мне нужен ближайший офис где я могу заменить физическую сим на  метро красные ворота,34
133,Здравствуйте! Дайте адреса офисов где можно оформить ,34
134,Добрый вечер. В каких салонах можно оформить переход на виртуальную сим карту esim ?,34
135,Есим есть в мегафоне?,34
136,"Здравствуйте, в каких офисах можно оформить есим ?",34
137,Здравствуйте! Есть ли в Мегафоне - виртуальная сим-карта ?!,34
138,"Здравствуйте! Скажите пожалуйста, где возможно приобрести е-сим карту?",34
139,Как и где я могу оформить  ?,34
140,Появилась ли в Челябинской области возможность приобретения  ?,34
141,Электронную симкарту можно подключить ?,34
142,"Здравствуйте! Подскажите пожалуйста в каком из офисов Мегафон города Краснодар, я могу приобрести  ?",34
143,Функция еSIM,34
144,добрый день. как перейти или оформить  ?,34
145,Виртуальная сим карта,34
146, без похода в салон,34
147,Как сим карту переделать на ЕСим,34
148,"Здравствуйте. В новостях от Мегафона было объявлено о возможности заменить свою симкарту на есим (виртуальную) в любом офисе после03.08. Я могу это сделать в салоне г. Саров, Нижегородской обл?",34
149,Как можно подключить  ?,34
150,что такое ,34
151,меня интересует возможность подключения виртуальной симкарты,34
152,"Добрый день! Подскажите, пожалуйста, адреса офисов в Москве, где я смогу обменять физическую сим-карту на ",34
153,"Здравствуйте, возможно ли активировать сим карту  ?",34
154, в каких регионах ?,34
155,"Здравствуйте. Подскажите, пожалуйста, адреса офисов в г. Казань, в которых можно выполнить замену физической SIM-карты на  .",34
156,Здравствуйте! Подскажите в каких салонах Мегафон города Москвы можно получить е-сим ?,34
157,Добрый день! Когда в Орле будут подключать  ?,34
158,На счёт виртуальной сим карты,34
159,Здравствуйте! Появилась новость что Мегафон стал подключать  . Где можно найти в самаре?,34
160,Виртуальная симкарта,34
161,Виртуальная карта esim,34
162,"Здравствуйте! Появилась новость что Мегафон стал подключать  . Где, как и когда, можно будет подключиться в Калининграде?",34
163,"Добрый день. Как я могу перейти на формат  ? Физическая сим карта у меня есть, номер хочу сохранить",34
164,Как оформить электронную сим карту ?,34
165,"Здравствуйте, могу ли я оформить переход со своей сим картой на  ?",34
166,В каком ближайшем салоне можно оформить  ?,34
167, когда появятся?,34
168,Добрый день! Что даёт карта есим ?,34
169,Где можно установить  ?,34
170,Как оформить  на моем номере?,34
171,"Добрый день, а можно удалённо перевыпустить эту сим карту в формат  ?",34
172,esim карта,34
173,Добрый день! Хочу поменять сим карту на ,34
174,"Добрый день! Я хотел уточнить, могу ли я оформить  для моего номера? И в каких салонах в Москве я могу это сделать?",34
175,Добрый день. Могу ли я свою сим карту перевести на  или вообще могу ли я в Санкт-Петербурге оформить  ?,34
176,"Здравствуйте, хотелось бы узнать у вас по переход на  .",34
177, есть ли возможность подключить ?,34
178,Как подключить виртуальную сим карту,34
179,Как я могу получить  ?,34
180,Подскажите как можно оформить ,34
181,Добрый день подскажите ближайший офис где можно оформить ,34
182,Как поменять сим карту на есим ?,34
183,Я могу получить  на этом номере?,34
184,Добрый день! Могу ли я подключить  ?,34
185,"Здравствуйте, а в каких салонах г. Москвы можно приобрести  ?",34
186,"Здравствуйте, в каком салоне связи в г. Краснодар можно приобрести  ?",34
187,"Подскажите адреса салонов сотовой связи, в которых можно оформить е-sim ?",34
188,Хочу оформить ,34
189,Мне нужна  карта,34
190,"Здравствуйте. Подскажите адрес салона в СПб, в котором можно получить  . Спасибо.",34
191,Как перейти на  ?,34
192,"Добрый день, в Мегафон появилась возможность оформления eSim карты . Вопрос следующий, поддерживает ли мегафон процесс переноса тарифного плана при смене телефона ( ) при его первой настройке (https://support.apple.com/ru-ru/HT210655). Или для этого необходимо будет снова посещать салон?e",34
193,Добрый день... Как поменять реальную сим карту на Еsim ?,34
194, можно подключить ?,34
195,Здравствуйте. Хотел бы перейти на стандарт  . Как это можно сделать?,34
196,Где я могу подключить  ?,34
197,как сделать  на этом номере?,34
198,У меня  Я хочу подключить виртуальную eSIM карту ... это возможно через Мегафон ?,34
199,Подскажите - как и где я могу оформить  ?,34
200,Появилась ли возможность подключить eSim карту ?,34
201, карты когда?,34
202, - в каких салонах Москвы можно оформить?,34
203,"В каких салонах (офисах), я могу оформить е-sim ?",34
204,Добрый день! Имеется ли возможность поменять свою сим карту на  ?,34
205,добрый день. Могу ли я поменять свою сим карту на  ?,34
206,Добрый день! Как я могу оформить е-сим ?,34
207,Предоставляете ли вы услуги по подключению виртуальной сим-карты ?,34
208,Хочу подключить ,34
209, Где можно найти в мск?,34
210,Добрый день. Могу ли оформить виртуальную сим карту на айфон 11 про ?,34
211,"Добрый день, подскажите услуга виртуальной сим карты доступна уже?",34
212,Во всех салонах можно оформить электронные сим Карты ?,34
213,Как поменять сим карту на ,34
214, возможность подключиться ?,34
215,День добрый. Хочу получить на свой номер  . Как это сделать?,34
216,Я хочу подключить виртуальную сим карту eSIM,34
217,"Добрый день! Подскажите, как я могу заменить физическую сим карту на е-сим ?",34
218,Esim карта,34
219,"Е,сим подключаете ?",34
220,Электронная сим карта,34
221,Как перейти на электронную симку,34
222,"Добрый день. Как я могу перейти на формат  ? Физическая сим карта у меня есть, номер хочу сохранить",34
223,как подключить есть сим,34
224,мне надо подключить я сим,34
225,есть сим ,34
226,необходимо подключить есть сим то есть электронная сим карту ,34
227,"Привет, я могу свою сим карту сделать электронной?""",34
228,хочу купить электронную Симку ,34
229,заказ я сим ,34
230,Как получить электронную симкарту ?,34
231,Хочу электронную симкарту,34
232,хочу поменять пластику сим карту на электронную ,34
233,где можно заменить есть сим ,34
234,как заменить обычную симкарту на нее сим ,34
235,скажите пожалуйста вот я Симку приобретал в янао вот в Екатеринбурге я могу поменять Нано Симку на цифровую на если с моей Симку ,34
236,узнать по обмена сим карты на есть сим ,34
237,заменить сим на едем ,34
238,сменить пластиковый Симку на есть 7 ,34
239,как соедините пластиковой сим карты ей 7 ,34
240,как заменить сим карту на висим ,34
241,замена сим карта на электронную ,34
242,как я могу заменить свою сим карту на есть 7 ,34
243,мне нужно настроить есть сим ,34
244,как поменять обычную сим карту на здесь сим ,34
245,сделайте я Симку ,34
246,замена карты здесь 7 ,34
247,как поменять сим на есть сим ,34
248,скажите пожалуйста где я могу заменить пластиковый сим карта на я сим ,34
249,как сделать е сис по этому номеру?,34
250,Как влючить еsin,34
251,"распечатку с QR кодом нам дали, но Е-симка не подключается, т.к. якобы эта е-симка уже у кого-то другого. объясните нам сложившуюся ситуацию",34
252,не работает есть сим,34
253,на какие телефоны подходит есть сим,34
254,свой номер я могу перенести на карту есть сим,34
255, выдает ошибку megafon pro error 1f xx 2700/6f0b,34
256,"Здравствуйте, сегодня взял Е-сим привязал по QR коду к телефону и случайно отвязал, привязать повторно уже не могу, что делать?",34
257,как привязать потерянную сим карту к есть сим,34
258,не работает есть сим,34
259, пишет что не зарегистрирована в сети 89221235618,34
260,"здравствуйте, сегодня в салон мегафон я пришёл с вопросом по замене симкарты на  , мне распечатали qr код с инструкцией, паспорт и никакие данные не потребовались. при добавлении сотового тарифа по полученному коду на устройстве iphone 11 сеть не работает, написано, что нет сети, в чём проблема может быть? Спасибо",34
261,"Добрый день, подключил  она уже как час не работает, телефон перезагружал",34
262,"здравствуйте, получил QR код для замены на  отсканировал и мне выдает что нет связи хотя я следовал по интсрукции, можете подсказать в чем проблема .",34
263,"Доброе утро. Хочу оформить есим своему для ассистента, это возможно?",34
264,как зарегистрировать электронный сим карту,34
265,Мне нужен qr код для активации сим на айфоне,34
266,Хочу заказать цифровую сим карту на свой номер,34
267,можно ли перейти с обычный карты на есть Симка,34
268,"Доброе утро. Хочу оформить есим своему для ассистента, это возможно?",34
269,Здравствуйте. У меня  . Мне нужно перенести её на новый телефон,34
270,Нужно перенести Есим,34
271,"Вышлите мне QR код моего Номера телефона, все выше уже 2 раза писал",34
272,не получается добавить на телефон есть сим,34
273,Можно ли использовать звонки через  без приложения  ?,36
274,Когда  появится уже?,36
275,что такое  ?,36
276, в тобольске поддерживает?,36
277,"У меня появился значек в верхнем правом углу экрана где написано мегафон, и рядом ещё с сегодняшнего дня появилась надпись  и когда я кому-то звоню или мне кто-то звонит, рядом с минутами он тоже есть",36
278, в ярославле,36
279,"Скажите пожалуйста, когда в планах запуск  в ставрополе",36
280,есть ли в ижевске  ?,36
281,Добрый день. Подскажите работает ли услуга  в Ярославской области?,36
282,Что такое ,36
283,"Мне пришла смс, что мой телефон поддерживает  ? Я должен получить новую сим?",36
284,"Здравствуйте! когда планируете запуск  в Республике Башкортостан? в новостях читаю что запустили в Забайкалье , в Республике Татарстан. А когда до нас услуга доберется?",36
285, в Новосибирске работает?,36
286,"здравствуйте, поддерживает ли мой тариф стандарт  ?",36
287,"здравствуйте, подскажите пожалуйста список регионов с  и ",36
288,Данные для настройки ,36
289,есть ли  в удмуртии?,36
290,"Здравствуйте, есть ли у вас ",36
291,"привет, в Кемерово существует  ?",36
292,Здравствуйте мегафон поддерживает ,36
293,"Добрый день, работает ли  в Вологде?",36
294,где работает  ?,36
295, ims сервисы,36
296,в разделе услуги в приложении ни  ни  не нашёл.,36
297,У меня связь  ?,36
298,есть ли у меня звонки по  ?,36
299,"Добрый вечер. Хотел узнать , поддерживается ли в моем тарифе  ? Телефон Айфон 11",36
300,есть ли  в удмуртской республике?,36
301,"Здравствуйте, подскажите пожалуйста когда планируется запустить  в Волгограде?",36
302,Работает ли в Иркутске технология  ?,36
303,"Здравствуйте, подскажите пожалуйста когда планируется запустить  в Волгограде?",36
304,Что такое вольте,36
306,Добрый день. звонки выполненные заграницей при подключении к сети посредством  будут тарифицироваться как в роуминге или по тарифам домашнего региона?,36
312,помогите настроить ,36
313,"добрый день. на  работала хорошая штука, по названием звонки через  ). на redmi note 7 такое можно настроить? вроде сам аппарат поддерживает это, но почему то из коробки не работает. часто нахожусь в местах где ваша сеть плохо ловит и  очень выручал. спасибо.",36
315,"возможно ли включить поддержку  на xiaomi a3 ? на  на данном устройстве работает, по информации из интернета оператор должен разрешить работу  для модели. эта же симка в p40 lite  работает",36
316,"Как проверить сим карту поддержки технологий  . Работает технология  на Сахалине, Курилах?",36
317,Работает  звонки на Курилах?,36
318,"Как проверить сим карту поддержки технологий  звонков.Работает ли данная технология Сахалин, Курилы?",36
321,"Здравствуйте! Мне пришла смс от Мегафона, что теперь доступна технология  . Нужно ли как-то её активировать в личном кабинете или достаточно просто включить опцию в настройках телефона?",36
322,"здравствуйте. как звонить по  без мобильной сети, но при наличии  ? у меня так и не получилось",36
323,как расходуются минуты при звонках по  ?,36
324,"Здравствуйте, заработал ли  в Пензенской области?",36
325,как настроить ,36
326,дома связь плохая хочу использовать технологию ,36
327,хочу общаться через ,36
328,звонки через ,36
329,услуга звонка через ,36
330,добрый день. интересует тарификация звонков при совершении вызова через ,36
331,Звонки через ,36
332,"здравствуйте, когда Мегафон запусит услугу звонки через  ?",36
333,звонки через ,36
334,Звонки через ,36
335,а если подключить звонки через  смс будут поступать?,36
336,"у вас есть опция звонок через  . как настроить телефон? у нас на работе плохо ловит сигнал, но есть ",36
337,Звонки на телефон через ,36
338,Дополнительная услуга звонков на сотовую сеть через ,36
339,Интересует опция звонков на сотовую сеть через ,36
340,Меня интересует звонки через  и смс,36
341,Звонки через ,36
342,"Добрый день, вчера пробовал звонок через  мегафон-мегафон",36
343,Звонок через  calling,36
344,как тарифицируются вызовы через  заграницей?,36
347,добрый вечер.  запустили в воронеже?,36
348,здравствуйте. хотел узнать про услугу ,36
349,"что надо сделать, чтобы  заработал?",36
350,"привет,  работает? какието настройки нужны?",36
352,мне нужно ,36
353,"добрый день, вопрос по ",36
354,С интернет звонками ,36
355,"Ночь добрая. В Саратове включили  , это просто отлично, но только у меня на номере, именно на номере а не телефоне. Пробовал разные сим и разные телефоны. 9279155666 Блохин Кирилл Викторович.",36
357,Цена  вызова,36
358,"скажите, есть ли в г. Киров кировской оьласти услуга  ?",36
359,Меня интересует услуга  .,36
360,Вовайфай ,36
361,"Здравствуйте, если я включу звонки по вайфай в настройках iPhone 11 я смогу звонить из за рубежа по вайфай по домашнему тарифу? ",36
362,как звонить через вайфай ,36
363,звонки через вайфай ,36
364,Скажите в Мегафон подключена функция звонки по вайфай ,36
365,как звонить по вайфай ? ,36
366,Мне  предложил звонить когда сигнал по вайфай Это платно или нет? ,36
367,позвонить без связи через вайфай ,36
368,звонки по вайфай что и как стоят? ,36
369,есть услуга звонок через вайфай ? ,36
370,звонок через вайфай ,36
371,"здравствуйте, когда появится опция вайфай звонки в брянской области. ",36
372,Добрый день. Могу я использовать звонки через вайфай ? ,36
373,как можно звонить через вайфай . у меня сейчас не ловит сеть мегафон. Но есть сеть мтс и интернет мтс . Как звонить с мегафона ? ,36
374,"доброе утро, скажите, если активировать в телефоне  calls и  , то звонки из роуминга будут бесплатными при подключении к вайфай ? ",36
375,звонки по вайфай тратят минуты ,36
376,звонки по вайфай ,36
378,как настроить звонки  ?,36
379,"Здравствуйте, могу ли я совершать вызовы по  ?",36
380,Здравствуйте. Как совершать звонки через услуги  ?,36
381, в Удмуртии,36
382,есть ли у вас звонки через ,36
383,проверка связи чистой звук,36
384,Вовайфай,36
385,Вовайфай,36
386,Вовайфай,36
387,Вовайфай,36
388,Вовайфай,36
389,Вовайфай,36
390,Вовайфай,36
391,Вовайфай,36
392,Вовайфай,36
393,Вовайфай,36
394,Вовайфай,36
395,есть ли у нас вовайфай,36
396,Я хочу узнать действует ли в моем регионе вовайфай,36
397,как подключить услугу  ?,37
398, можно подключить ?,37
399, как подключить ?,37
400,"Здравствуйте,включите мне ",37
401,"Здравствуйте, обнаружил в настройках моего телефона не активна  , пишет, что сим карта не поддерживает. Странно, LTE поддерживает... Что делать? Менять карту или можно удаленно включить?",37
402,"Здравствуйте, я хочу подключить  и сервис IMS",37
403,Добрый день. Подключите услугу ,37
404,"как включить  , на аппарате включен, даже работал на корпоративной симке, почему я на своей не могу пользоваться ",37
405,хочу подключить  и ,37
406,Я хочу включить режим ,37
407,"здравствуйте, хочу подключить  , зарегистрировать статус сервиса ",37
408,Режим  как включить,37
409,подключение ,37
410,"Здравствуйте, ims-сервисы для работы  и  подключите пожалуйста.",37
411,подключите ,37
412,для звонков  мне нужно подключить сервис IMS,37
413,Прошу подключить IMS-сервисы  и ,37
414,подключите услугу ,37
415,Арошу включить услугу ,37
416,могу ли я получить режим  ?,37
417,здравствуйте подключите мне ,37
418,"Добрый вечер, можете активировать  на данной сим-карте?",37
419,"здравствуйте,хотел бы чтобы мне подключили  и ",37
420,здравствуйте.подключите ,37
421,Прошу подключить сервис  и ,37
422,"Подключите услугу  , пожалуйста.",37
423,подключен ли у меня сервис IMS ? для звонков ,37
424,здравствуйте. как подключить режим  .,37
425,"Я хочу подключить режим  , и сервис  .",37
426, хочу,37
427,Хочу подключить  и ,37
428,"здравствуйте, хочу подключить бесплатные сервисы  и ",37
429,как подключить режим  ??????????,37
430,Как сделать доступным  ?,37
431,как включить  ?,37
432,Здравствуйте. Я желаю активировать  и подключить сервисы IMC,37
433,Могу ли я подключить ,37
434,"здравствуйте, бесплатно ли будет подключить  ?",37
435,"Здравствуйте, ims-сервисы для работы  и  подключите пожалуйста.",37
436,можно подключить услугу  ?,37
437,"мы моем зарегестрировать и подключить связь  , или не поддерживается?",37
