,0
114,pereofomlenie_dogovora_bez_vladelca
115,pereofomlenie_dogovora_posle_smerti_vladelca
116,pereoformlenie_dogovora_distancionno
117,pereoformlenie_dogovora_status
118,personalnoe_predlozhenie_ne_podklyuchilos
119,personalnoe_predlozhenie_ne_poyavilos
120,personalnoe_predlozhenie_propalo
121,personalnoe_predlozhenie_shchedryj_platezh
122,personalxnyj_schyot
123,pochemu_ne_rabotaet_ussd
124,podbor_zakachajsya
125,podpiska_apple_music
126,podpiska_megafon_plyus
127,podpiska_megafon_viktorina
128,podpiska_okko
129,podpiska_start
130,podpiski_podklyuchit
131,podpiski_problema
132,pokrytie_seti
133,pomoshtnik_kak_dela
134,pomoshtnik_rasskazhi_o_sebe
135,pre_5g
136,prishlo_sleduyushtee_soobshtenie
137,privyazka_pochty_klienta
138,problemy_s_sms_i_zvonkami_na_korotkie_nomera
139,rastorzhenie_dogovora_vladelec_umer
140,rouming_pogranzona
141,rouming_zaprety
142,sim_karta_ne_v_telefoneq
143,skidka_pochemu_otklyuchilas
144,skidka_s_avtoplatezhom
145,skidka_srok_dejstviya
146,skidku_prodlit
147,skolxko_eto_zajmet_vremeni
148,skorost_interneta
149,smena_regiona_pri_pereezde
150,smena_tarifa_bez_interneta
151,smena_tarifa_deshevle
152,smena_tarifa_detskij
153,smena_tarifa_otklyuchenie
154,smena_tarifa_pod_oborudovanie
155,smena_tarifa_problema
156,smena_tarifa_s_bezlimitom
157,smena_tarifa_s_vozvratom_ap
158,smena_tarifa_socialxnyj
159,smena_tarifa_tolxko_internet
160,sms_centr
161,sms_posle_zameny_sim
162,srok_dejstviya_sim_bez_ispolxzovaniya
163,ssylka_ne_rabotaet
164,tarif_data_smeny
165,tarif_kak_raskhoduetsya_sms
166,tarif_sms_na_bankovskie_nomera
167,tarif_zvonki_na_gorodskie
168,tochnoe_vremya
169,usluga_arenda_nomera
170,usluga_avtoplatezh
171,usluga_chernyi_spisok
172,usluga_dopolnitelnyj_nomer
173,usluga_gorodskoj_nomer
174,usluga_konferenc_svyazx
175,usluga_megadisk
176,usluga_megafon_zashchita
177,usluga_mobilnyj_platezh
178,usluga_op_avtoop_info 
179,usluga_op_avtoop_nedovolxstvo
180,usluga_op_avtoop_status
181,usluga_op_avtoop_zapret
182,usluga_pereadresaciya
183,usluga_roditelskij_kontrol
184,usluga_semxya
185,usluga_sohranenie_nomera
186,usluga_tvoi_procenty
187,usluga_uderzhanie_vyzova_ne_rabotaet
188,usluga_zapret_korotkih_nomerov
189,usluga_zapret_mobilnyj_platezhej
190,usluga_zapret_vyzova
191,usluga_znayu_kto_zvonit
192,uslugi_antiaon_i_superaon
193,uslugi_dlya_kontrolya_mestopolozheniya
194,uslugi_kopilka_ili_perenos_ostatka_ne_rabotayut
195,uslugi_s_otkazami_ot_reklamy_spiskom
196,utochnenie_po_sroku_oplaty_limita
197,utochnenie_stoimosti
198,uznatx_filial_nomera
199,vernite
200,vidzhet_ne_rabotaet
201,vip_status
202,vladelec_neizvesten_ili_net_svyazi
203,vopros_po_drugomu_nomeru
204,voprosy_po_domashnemu_internetu
205,voprosy_pro_ip_adres
206,voprosy_pro_mms
207,vosstanovlenie_nomera
208,vozrast_dlya_oformleniya_sim
209,yes
210,zamena_sim_karty_bez_vladelxca
211,zamena_sim_karty_distancionno
212,zamena_sim_karty_ne_rabotaet_nomer
213,zapret_na_dejstviya_s_sim_kartoj_po_doverennosti
214,zhaloby_na_abonentskoe_obsluzhivanie
